Date,Description,Amount
2024-10-15,NETFLIX.COM,15.49
2024-10-10,SPOTIFY USA,10.99
2024-10-05,Amazon Prime,14.99
2024-10-03,APPLE.COM/BILL,4.99
2024-09-25,Target Store #1234,87.32
2024-09-15,NETFLIX.COM,15.49
2024-09-12,SPOTIFY USA,10.99
2024-09-05,Amazon Prime,14.99
2024-09-03,APPLE.COM/BILL,4.99
2024-09-01,Starbucks,8.45
2024-08-22,Gas Station,45.00
2024-08-15,NETFLIX.COM,15.49
2024-08-12,SPOTIFY USA,10.99
2024-08-10,Grocery Store,123.45
2024-08-05,Amazon Prime,14.99
2024-08-03,APPLE.COM/BILL,4.99
2024-07-28,Restaurant ABC,56.78
2024-07-15,NETFLIX.COM,15.49
2024-07-12,SPOTIFY USA,10.99
2024-07-05,Amazon Prime,14.99
2024-07-03,APPLE.COM/BILL,4.99
